S.No,Institute Code,Institute Name,Place,Dist. Name,Region,College Type,Minority,Co- Educ.,Affil. to,Branch Code,fee,Convener Seats
744,MRIP,MALLA REDDY INIST OF PHARM SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,PHM,55000,35
745,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSC,65000,42
746,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSD,65000,42
747,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSE,65000,126
748,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSM,65000,42
749,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,ECE,65000,126
750,MRIT,MALLAREDDY INST OF TECHNOLOGY AND SCI,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,INF,65000,42
751,MRPC,MALLA REDDY PHARMACY COLLEGE,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,PHD,90000,10
752,MRPC,MALLA REDDY PHARMACY COLLEGE,MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,PHM,50000,35
753,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,AID,80000,42
754,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,AIM,80000,42
755,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,CIV,80000,42
756,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,CSE,80000,168
757,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,CSG,80000,42
758,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,CSM,80000,42
759,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,ECE,80000,168
760,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,EEE,80000,42
761,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,INF,80000,126
762,MRTN,ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),DHULAPALLY,MDL,OU,PVT,NA,COED,JNTUH,MEC,80000,42
763,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,CSE,61000,42
764,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,CSI,61000,42
765,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,CSM,61000,42
766,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,ECE,61000,42
767,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,EEE,61000,42
768,MTEC,MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,MEC,61000,42
769,MTPG,MOTHER TERESA COLLEGE OF PHARMACY,NFC NAGAR,MDL,OU,PVT,NA,COED,OU,PHM,42000,35
770,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,AUT,125000,42
771,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,CIV,125000,84
772,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,CSE,125000,126
773,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,ECE,125000,126
774,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,EEE,125000,84
775,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,INF,125000,126
776,MVSR,M V S R ENGINEERING COLLEGE (AUTONOMOUS),NADERGUL,RR,OU,PVT,NA,COED,OU,MEC,125000,84
777,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,CIC,73000,84
778,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,CIV,73000,63
779,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,CSD,73000,21
780,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,CSE,73000,42
781,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,CSM,73000,84
782,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,ECE,73000,42
783,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,INF,73000,42
784,NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYD,OU,PVT,MUS,COED,OU,MEC,73000,42
785,NCOP,NALANDA COLLEGE OF PHARMACY,NALGONDA,NLG,OU,PVT,NA,COED,JNTUH,PHM,55000,35
786,NETW,NOBLE COLLEGE OF ENGG TECHNOLOGY FOR WOMEN,NADERGUL,RR,OU,PVT,NA,GIRLS,JNTUH,CSE,40000,42
787,NGIT,NEIL GOGTE INST OF TECHNOLOGY,KACHIVANI SINGARAM,MDL,OU,PVT,NA,COED,OU,CSE,70000,126
788,NGIT,NEIL GOGTE INST OF TECHNOLOGY,KACHIVANI SINGARAM,MDL,OU,PVT,NA,COED,OU,CSM,70000,84
789,NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CSE,47000,42
790,NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CSM,47000,42
791,NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CSO,47000,21
792,NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,ECE,47000,42
793,NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,EEE,47000,42
794,NIET,NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CHOUTUPPAL,YBG,OU,PVT,NA,COED,JNTUH,CIV,42000,21
795,NIET,NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CHOUTUPPAL,YBG,OU,PVT,NA,COED,JNTUH,CSE,42000,42
796,NIET,NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CHOUTUPPAL,YBG,OU,PVT,NA,COED,JNTUH,ECE,42000,21
797,NIET,NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CHOUTUPPAL,YBG,OU,PVT,NA,COED,JNTUH,EEE,42000,42
798,NIPH,NETAJI INST OF PHARM SCI,WARANGAL,HNK,OU,PVT,NA,COED,KU,PHM,50000,21
799,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,83000,21
800,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,83000,126
801,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,83000,126
802,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,83000,21
803,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,INF,83000,42
804,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,83000,21
805,NNRG,NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,PHM,75000,35
806,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CIV,68000,42
807,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSC,68000,42
808,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSD,68000,42
809,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSE,68000,126
810,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,CSM,68000,42
811,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,ECE,68000,84
812,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,EEE,68000,42
813,NRCM,NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),MAISAMMAGUDA,MDL,OU,PVT,NA,COED,JNTUH,MEC,68000,42
814,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,86000,42
815,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,86000,126
816,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,86000,42
817,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,86000,126
818,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,86000,42
819,NREC,NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,86000,42
820,NTJP,NETHAJI INSTT OF PHARM SCI,TOOPRANPET,YBG,OU,PVT,NA,COED,JNTUH,PHM,45000,21
821,OMGP,OMEGA COLLEGE OF PHARMACY,GHATKESAR,MDL,OU,PVT,NA,COED,OU,PHD,68000,10
822,OMGP,OMEGA COLLEGE OF PHARMACY,GHATKESAR,MDL,OU,PVT,NA,COED,OU,PHM,45000,35
823,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,BME,35000,30
824,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,CIV,35000,60
825,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,CSE,35000,60
826,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,ECE,35000,50
827,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,EEE,35000,60
828,OUCE,O U COLLEGE OF ENGG HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,MEC,35000,60
829,OUCESF,O U COLLEGE OF ENGG HYDERABAD - SELF FINANCE,HYDERABAD,HYD,OU,SF,NA,COED,OU,AIM,120000,60
830,OUCESF,O U COLLEGE OF ENGG HYDERABAD - SELF FINANCE,HYDERABAD,HYD,OU,SF,NA,COED,OU,MIN,100000,60
831,OUCT,O U COLLEGE OF TECH HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,CHE,35000,60
832,OUCT,O U COLLEGE OF TECH HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,FDT,35000,30
833,OUCT,O U COLLEGE OF TECH HYDERABAD,HYDERABAD,HYD,OU,UNIV,NA,COED,OU,TEX,35000,30
834,OUCTSF,O U COLLEGE OF TECH HYDERABAD - SELF FINANCE,HYDERABAD,HYD,OU,SF,NA,COED,OU,FDT,70000,30
835,OUCTSF,O U COLLEGE OF TECH HYDERABAD - SELF FINANCE,HYDERABAD,HYD,OU,SF,NA,COED,OU,TEX,70000,30
836,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,CIV,50000,42
837,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,CSC,50000,42
838,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,CSD,50000,42
839,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,CSE,50000,84
840,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,ECE,50000,42
841,PALV,PALLAVI ENGINEERING COLLEGE,KUNTLOOR,RR,OU,PVT,NA,COED,JNTUH,EEE,50000,42
842,PATH,PATHFINDER INST OF PHARM EDN AND RES,HANAMKONDA,HNK,OU,PVT,NA,COED,KU,PHM,50000,28
843,PCOP,PRINCETON COLLEGE OF PHARMACY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,PHM,60000,35
844,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,CIV,62000,42
845,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,CSC,62000,42
846,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,CSD,62000,42
847,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,CSE,62000,84
848,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,CSM,62000,42
849,PETW,PRINCETON INST OF ENGG TECH FOR WOMEN,GHATKESAR,MDL,OU,PVT,NA,GIRLS,JNTUH,ECE,62000,42
850,PIPS,PRATHISHTA INST OF PHARM SCI,SURYAPET,SRP,OU,PVT,NA,COED,JNTUH,PHD,68000,10
851,PIPS,PRATHISHTA INST OF PHARM SCI,SURYAPET,SRP,OU,PVT,NA,COED,JNTUH,PHM,45000,35
852,PLMU,PALAMUR UNIVERSITY,MAHABUBNAGAR,MBN,OU,UNIV,NA,COED,PLMU,PHM,10000,30
853,PNRP,PRATAB NARENDAR REDDY COLL OF PHARMACY,SHAMSHABAD,RR,OU,PVT,NA,COED,JNTUH,PHM,45000,10
854,PRIW,PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,KHAMMAM,KHM,OU,PVT,NA,GIRLS,JNTUH,AID,50000,42
855,PRIW,PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,KHAMMAM,KHM,OU,PVT,NA,GIRLS,JNTUH,CSE,50000,84
856,PRIW,PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,KHAMMAM,KHM,OU,PVT,NA,GIRLS,JNTUH,CSM,50000,42
857,PRIW,PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,KHAMMAM,KHM,OU,PVT,NA,GIRLS,JNTUH,ECE,50000,42
858,PRIW,PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,KHAMMAM,KHM,OU,PVT,NA,GIRLS,JNTUH,EEE,50000,42
859,PULI,PULIPATI PRASAD COLL OF PHARM SCI,KHAMMAM,KHM,OU,PVT,NA,COED,KU,PHM,60000,21
860,PURD,PULLA REDDY INST OF PHARMACY DINDIGUL,DUNDIGAL,MDL,OU,PVT,NA,COED,JNTUH,PHD,68000,10
861,PURD,PULLA REDDY INST OF PHARMACY DINDIGUL,DUNDIGAL,MDL,OU,PVT,NA,COED,JNTUH,PHM,60000,35
862,RBVW,R B V R R WOMENS COLLEGE OF PHARMACY,NARAYANAGUDA,HYD,OU,PVT,NA,GIRLS,OU,PHD,90000,10
863,RBVW,R B V R R WOMENS COLLEGE OF PHARMACY,NARAYANAGUDA,HYD,OU,PVT,NA,GIRLS,OU,PHM,65000,35
864,RITW,RISHI MS INST OF ENGG AND TECH FOR WOMEN,KUKATPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,CSE,60000,63
865,RITW,RISHI MS INST OF ENGG AND TECH FOR WOMEN,KUKATPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,ECE,60000,42
866,RITW,RISHI MS INST OF ENGG AND TECH FOR WOMEN,KUKATPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,INF,60000,42
867,SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHM,OU,PVT,NA,COED,JNTUH,CSE,62000,42
868,SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHM,OU,PVT,NA,COED,JNTUH,CSM,62000,42
869,SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHM,OU,PVT,NA,COED,JNTUH,ECE,62000,42
870,SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHM,OU,PVT,NA,COED,JNTUH,EEE,62000,42
871,SAIS,SAI SPURTI INSTITUTE OF TECHNOLOGY,SATHUPALLY,KHM,OU,PVT,NA,COED,JNTUH,MEC,62000,42
872,SBIT,SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,CIV,66700,42
873,SBIT,SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,CSE,66700,126
874,SBIT,SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,ECE,66700,126
875,SBIT,SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,EEE,66700,42
876,SBIT,SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,MEC,66700,42
877,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,AID,45000,42
878,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,AIM,45000,42
879,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,CIV,45000,42
880,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,CSE,45000,126
881,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,ECE,45000,42
882,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,EEE,45000,42
883,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,INF,45000,42
884,SCET,SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,PEERANCHERU,RR,OU,PVT,MUS,COED,JNTUH,MEC,45000,42
